Nodo,Distrito,Caja,Desconectado_hora,Desconectado_dia,Reconectado,Activo
0            ,702,E4   ,13,0,0,0
0            ,702,E8   ,13,2,0,0
0            ,703,C12  ,9,0,0,0
0            ,703,C6   ,9,1,0,0
0            ,703,C8   ,11,0,0,0
2            ,711,A10  ,9,1,0,0
2            ,711,A11  ,14,1,0,0
2            ,711,A12  ,11,0,0,0
2            ,711,A2   ,14,2,0,0
2            ,711,A4   ,14,0,0,0
2            ,711,A5   ,15,1,0,0
2            ,711,A8   ,5,0,0,0
2            ,711,A9   ,12,1,0,0
2            ,711,B10  ,8,0,0,0
2            ,711,B5   ,5,0,0,0
2            ,711,C2   ,9,0,0,0
2            ,711,D2   ,8,0,0,0
2            ,711,E10  ,13,0,0,0
2            ,711,E12  ,13,1,0,0
2            ,711,F12  ,6,0,0,0
2            ,711,F2   ,10,1,0,0
2            ,718,G7   ,10,0,0,0
2            ,718,H6   ,7,0,0,0
2            ,718,I10  ,9,2,0,0
2            ,718,I12  ,14,1,0,0
2            ,718,I6   ,9,0,0,0
4            ,703,A12  ,7,1,0,0
4            ,703,A4   ,9,1,0,0
4            ,703,A8   ,7,1,0,0
4            ,703,B12  ,7,0,0,0
4            ,703,B2   ,6,0,0,0
4            ,703,B3   ,7,1,0,0
4            ,703,B4   ,8,0,0,0
4            ,703,B5   ,5,0,0,0
4            ,703,B6   ,5,0,0,0
4            ,703,B7   ,7,0,0,0
4            ,703,B8   ,7,0,0,0
4            ,703,B9   ,5,0,0,0
4            ,703,C1   ,5,0,0,0
4            ,703,C11  ,6,0,0,0
4            ,703,C6   ,5,0,0,0
4            ,703,D10  ,5,0,0,0
4            ,703,D3   ,5,0,0,0
4            ,703,D6   ,9,1,0,0
4            ,703,D8   ,6,0,0,0
4            ,703,D9   ,7,0,0,0
4            ,706,A11  ,5,1,0,0
4            ,706,A6   ,6,0,0,0
4            ,706,A8   ,6,0,0,0
4            ,706,C11  ,5,1,0,0
4            ,706,D1   ,7,0,0,0
4            ,706,D2   ,7,0,0,0
4            ,706,D3   ,7,0,0,0
4            ,706,D6   ,6,0,0,0
4            ,706,E12  ,7,1,0,0
4            ,706,E3   ,6,0,0,0
4            ,706,E4   ,6,0,0,0
4            ,706,E5   ,8,0,0,0
4            ,706,E6   ,7,0,0,0
4            ,706,E8   ,6,1,0,0
4            ,706,F11  ,5,0,0,0
4            ,706,F4   ,6,2,0,0
4            ,706,H7   ,7,0,0,0
